"","rules","support","confidence","lift","count"
"1","{LPAN Papas Fav} => {2Soda}",0.00133155792276964,1,9.3875,2
"2","{Thai Chick} => {Cowboy}",0.00133155792276964,0.666666666666667,4.03763440860215,2
"3","{Paparoni} => {Choc Chip Dough}",0.00133155792276964,1,11.9206349206349,2
"4","{LTN All Meat} => {Choc Chip Dough}",0.00133155792276964,0.5,5.96031746031746,2
"5","{MGChkn Garlic} => {Hawaiian}",0.00133155792276964,0.5,6.15573770491803,2
"6","{Pizza Cutter} => {Murph Combo}",0.00199733688415446,0.75,9.54661016949153,3
"7","{Red Pep Shaker} => {Murph Combo}",0.00133155792276964,0.5,6.36440677966102,2
"8","{Red Pep Shaker} => {2Soda}",0.00133155792276964,0.5,4.69375,2
"9","{18.5 OZ Tea} => {Chz5 Brd W/Mar}",0.00133155792276964,0.666666666666667,9.81699346405229,2
"10","{M Chkn Garlic} => {Chk Caesar Sal}",0.00133155792276964,0.4,10.7285714285714,2
"11","{M Chkn Garlic} => {Pepperoni}",0.00199733688415446,0.6,3.70864197530864,3
"12","{M Cheese} => {Stf 5 Meat}",0.00133155792276964,0.333333333333333,9.44654088050314,2
"13","{M Cheese} => {Choc Chip Dough}",0.00133155792276964,0.333333333333333,3.97354497354497,2
"14","{FM Thick Crust} => {Pepperoni}",0.00133155792276964,0.333333333333333,2.06035665294925,2
"15","{M Gourmet Veg} => {Pepperoni}",0.00199733688415446,0.333333333333333,2.06035665294925,3
"16","{Medt Salad} => {2Soda}",0.00199733688415446,0.375,3.5203125,3
"17","{LTN Cowboy} => {LTN Chk Bcn Art}",0.00199733688415446,0.3,10.7285714285714,3
"18","{MM Chz} => {Cowboy}",0.00199733688415446,0.333333333333333,2.01881720430108,3
"19","{LG Thick Crust} => {Murph Combo}",0.00199733688415446,0.375,4.77330508474576,3
"20","{Chk Bcn Art Sal} => {Pepperoni}",0.00266311584553928,0.444444444444444,2.74714220393233,4
"21","{LTN Gourmet Veg} => {Pepperoni}",0.0033288948069241,0.357142857142857,2.20752498530276,5
"22","{MM Pep} => {Cheesy Bread}",0.00266311584553928,0.307692307692308,5.77692307692308,4
"23","{LG Thick Crust,Murph Combo} => {2Soda}",0.00133155792276964,0.666666666666667,6.25833333333333,2
"24","{2Soda,LG Thick Crust} => {Murph Combo}",0.00133155792276964,1,12.728813559322,2
"25","{Chk Bcn Art Sal,Murph Combo} => {2Soda}",0.00133155792276964,1,9.3875,2
"26","{2Soda,Chk Bcn Art Sal} => {Murph Combo}",0.00133155792276964,1,12.728813559322,2
"27","{Chk Bcn Art Sal,Murph Combo} => {Pepperoni}",0.00133155792276964,1,6.18106995884774,2
"28","{Chk Bcn Art Sal,Pepperoni} => {Murph Combo}",0.00133155792276964,0.5,6.36440677966102,2
"29","{Chk Bcn Art Sal,Choc Chip Dough} => {Pepperoni}",0.00133155792276964,1,6.18106995884774,2
"30","{Chk Bcn Art Sal,Pepperoni} => {Choc Chip Dough}",0.00133155792276964,0.5,5.96031746031746,2
"31","{2Soda,Chk Bcn Art Sal} => {Pepperoni}",0.00133155792276964,1,6.18106995884774,2
"32","{Chk Bcn Art Sal,Pepperoni} => {2Soda}",0.00133155792276964,0.5,4.69375,2
"33","{Cheesy Bread,MM Pep} => {2Soda}",0.00133155792276964,0.5,4.69375,2
"34","{2Soda,MM Pep} => {Cheesy Bread}",0.00133155792276964,0.666666666666667,12.5166666666667,2
"35","{Cheese,Murph Combo} => {Pepperoni}",0.00133155792276964,1,6.18106995884774,2
"36","{Cheese,Pepperoni} => {Murph Combo}",0.00133155792276964,0.333333333333333,4.24293785310734,2
"37","{Gourmet Veg,Murph Combo} => {Pepperoni}",0.00133155792276964,0.666666666666667,4.12071330589849,2
"38","{Gourmet Veg,Pepperoni} => {Murph Combo}",0.00133155792276964,0.666666666666667,8.48587570621469,2
"39","{FTN Chk Bcn Art,Murph Combo} => {Pepperoni}",0.00133155792276964,0.666666666666667,4.12071330589849,2
"40","{FTN Chk Bcn Art,Pepperoni} => {Murph Combo}",0.00133155792276964,0.4,5.09152542372881,2
"41","{Chz5 Brd W/Mar,FTN Chk Bcn Art} => {Hawaiian}",0.00133155792276964,0.5,6.15573770491803,2
"42","{FTN Chk Bcn Art,Hawaiian} => {Chz5 Brd W/Mar}",0.00133155792276964,1,14.7254901960784,2
"43","{Chz5 Brd W/Mar,FTN Chk Bcn Art} => {2Soda}",0.00133155792276964,0.5,4.69375,2
"44","{2Soda,FTN Chk Bcn Art} => {Chz5 Brd W/Mar}",0.00133155792276964,1,14.7254901960784,2
"45","{Chz5 Brd W/Mar,FTN Chk Bcn Art} => {Pepperoni}",0.00133155792276964,0.5,3.09053497942387,2
"46","{FTN Chk Bcn Art,Pepperoni} => {Chz5 Brd W/Mar}",0.00133155792276964,0.4,5.89019607843137,2
"47","{FTN Chk Bcn Art,Hawaiian} => {2Soda}",0.00133155792276964,1,9.3875,2
"48","{2Soda,FTN Chk Bcn Art} => {Hawaiian}",0.00133155792276964,1,12.3114754098361,2
"49","{Chk Caesar Sal,Smore Dsrt Piz} => {Cheesy Bread}",0.00133155792276964,1,18.775,2
"50","{Cheesy Bread,Chk Caesar Sal} => {Smore Dsrt Piz}",0.00133155792276964,0.5,25.0333333333333,2
"51","{Cheesy Bread,Smore Dsrt Piz} => {2Soda}",0.00199733688415446,0.375,3.5203125,3
"52","{2Soda,Smore Dsrt Piz} => {Cheesy Bread}",0.00199733688415446,0.75,14.08125,3
"53","{Pepperoni,Smore Dsrt Piz} => {Cheesy Bread}",0.00133155792276964,0.333333333333333,6.25833333333333,2
"54","{Choc Chip Dough,Stf Chk&Bac} => {Pepperoni}",0.00133155792276964,0.333333333333333,2.06035665294925,2
"55","{Cinnamon Wheel,Club Salad} => {Choc Chip Dough}",0.00199733688415446,0.5,5.96031746031746,3
"56","{Choc Chip Dough,Cinnamon Wheel} => {Club Salad}",0.00199733688415446,0.428571428571429,9.75324675324675,3
"57","{Cinnamon Wheel,Club Salad} => {2Soda}",0.00133155792276964,0.333333333333333,3.12916666666667,2
"58","{2Soda,Cinnamon Wheel} => {Club Salad}",0.00133155792276964,0.333333333333333,7.58585858585859,2
"59","{Cinnamon Wheel,Club Salad} => {Pepperoni}",0.00133155792276964,0.333333333333333,2.06035665294925,2
"60","{Cinnamon Wheel,Pepperoni} => {Club Salad}",0.00133155792276964,0.666666666666667,15.1717171717172,2
"61","{Club Salad,Pepperoni} => {Cinnamon Wheel}",0.00133155792276964,0.4,18.2060606060606,2
"62","{Cheesy Bread,Cinnamon Wheel} => {Choc Chip Dough}",0.00133155792276964,0.666666666666667,7.94708994708995,2
"63","{Chkn Garlic,Cinnamon Wheel} => {Cowboy}",0.00133155792276964,0.4,2.42258064516129,2
"64","{Cinnamon Wheel,Cowboy} => {Chkn Garlic}",0.00133155792276964,0.4,5.31681415929204,2
"65","{2Soda,Cinnamon Wheel} => {Cowboy}",0.00133155792276964,0.333333333333333,2.01881720430108,2
"66","{Cinnamon Wheel,Cowboy} => {2Soda}",0.00133155792276964,0.4,3.755,2
"67","{Chz5 Brd W/Mar,LTN Hrb Chk Med} => {Cowboy}",0.00133155792276964,1,6.05645161290323,2
"68","{Cowboy,LTN Hrb Chk Med} => {Chz5 Brd W/Mar}",0.00133155792276964,0.4,5.89019607843137,2
"69","{LTN Chk Bcn Art,Pepperoni} => {Choc Chip Dough}",0.00133155792276964,0.333333333333333,3.97354497354497,2
"70","{Chk Bac Art,Hawaiian} => {Cowboy}",0.00133155792276964,0.4,2.42258064516129,2
"71","{Chk Bac Art,Cowboy} => {Hawaiian}",0.00133155792276964,0.4,4.92459016393443,2
"72","{2Soda,Chk Bac Art} => {Cowboy}",0.00133155792276964,0.5,3.02822580645161,2
"73","{Chk Bac Art,Cowboy} => {2Soda}",0.00133155792276964,0.4,3.755,2
"74","{Chk Bac Art,Cowboy} => {Pepperoni}",0.00133155792276964,0.4,2.47242798353909,2
"75","{2Soda,FNY New Yrk} => {Pepperoni}",0.00133155792276964,0.4,2.47242798353909,2
"76","{FNY New Yrk,Pepperoni} => {2Soda}",0.00133155792276964,0.666666666666667,6.25833333333333,2
"77","{Pepperoni,Stf 5 Meat} => {2Soda}",0.00133155792276964,0.5,4.69375,2
"78","{20Oz Soda,Stf Chicago} => {Choc Chip Dough}",0.00133155792276964,0.666666666666667,7.94708994708995,2
"79","{Choc Chip Dough,Stf Chicago} => {20Oz Soda}",0.00133155792276964,0.4,11.5538461538462,2
"80","{Cheesy Bread,Stf Chicago} => {Pepperoni}",0.00133155792276964,0.5,3.09053497942387,2
"81","{Pepperoni,Stf Chicago} => {Cheesy Bread}",0.00133155792276964,0.333333333333333,6.25833333333333,2
"82","{Choc Chip Dough,Stf Chicago} => {Pepperoni}",0.00133155792276964,0.4,2.47242798353909,2
"83","{Pepperoni,Stf Chicago} => {Choc Chip Dough}",0.00133155792276964,0.333333333333333,3.97354497354497,2
"84","{Chk Caesar Sal,Perfect} => {Chz5 Brd W/Mar}",0.00199733688415446,0.6,8.83529411764706,3
"85","{Chz5 Brd W/Mar,Perfect} => {Chk Caesar Sal}",0.00199733688415446,0.75,20.1160714285714,3
"86","{Chk Caesar Sal,Chz5 Brd W/Mar} => {Perfect}",0.00199733688415446,0.375,9.88157894736842,3
"87","{20Oz Soda,Chk Caesar Sal} => {Choc Chip Dough}",0.00199733688415446,0.5,5.96031746031746,3
"88","{Chk Caesar Sal,Choc Chip Dough} => {20Oz Soda}",0.00199733688415446,0.6,17.3307692307692,3
"89","{20Oz Soda,Chk Caesar Sal} => {Cowboy}",0.00133155792276964,0.333333333333333,2.01881720430108,2
"90","{20Oz Soda,Cowboy} => {Chk Caesar Sal}",0.00133155792276964,0.333333333333333,8.94047619047619,2
"91","{20Oz Soda,Chkn Garlic} => {Chz5 Brd W/Mar}",0.00133155792276964,1,14.7254901960784,2
"92","{20Oz Soda,Chz5 Brd W/Mar} => {Chkn Garlic}",0.00133155792276964,0.333333333333333,4.4306784660767,2
"93","{Chkn Garlic,Chz5 Brd W/Mar} => {20Oz Soda}",0.00133155792276964,0.333333333333333,9.62820512820513,2
"94","{20Oz Soda,Chz5 Brd W/Mar} => {Choc Chip Dough}",0.00199733688415446,0.5,5.96031746031746,3
"95","{20Oz Soda,Hawaiian} => {2Soda}",0.00133155792276964,0.666666666666667,6.25833333333333,2
"96","{20Oz Soda,2Soda} => {Hawaiian}",0.00133155792276964,0.5,6.15573770491803,2
"97","{20Oz Soda,Cowboy} => {Choc Chip Dough}",0.00199733688415446,0.5,5.96031746031746,3
"98","{20Oz Soda,Pepperoni} => {Choc Chip Dough}",0.00133155792276964,0.333333333333333,3.97354497354497,2
"99","{CYO,Garden Salad} => {Pepperoni}",0.00133155792276964,1,6.18106995884774,2
"100","{Choc Chip Dough,Garden Salad} => {Chz5 Brd W/Mar}",0.00133155792276964,0.333333333333333,4.90849673202614,2
"101","{2Soda,Garden Salad} => {Pepperoni}",0.00133155792276964,0.333333333333333,2.06035665294925,2
"102","{Chz5 Brd W/Mar,Club Salad} => {Chk Caesar Sal}",0.00133155792276964,0.666666666666667,17.8809523809524,2
"103","{2Soda,Chk Caesar Sal} => {Club Salad}",0.00133155792276964,0.5,11.3787878787879,2
"104","{Chk Caesar Sal,Hawaiian} => {Chz5 Brd W/Mar}",0.00133155792276964,0.333333333333333,4.90849673202614,2
"105","{Chk Caesar Sal,Choc Chip Dough} => {Cowboy}",0.00133155792276964,0.4,2.42258064516129,2
"106","{All Meat,CYO} => {Murph Combo}",0.00133155792276964,0.5,6.36440677966102,2
"107","{All Meat,Murph Combo} => {CYO}",0.00133155792276964,0.5,10.1486486486486,2
"108","{All Meat,Murph Combo} => {Chkn Garlic}",0.00133155792276964,0.5,6.64601769911504,2
"109","{Chkn Garlic,Murph Combo} => {All Meat}",0.00133155792276964,0.4,8.46197183098592,2
"110","{All Meat,Cowboy} => {Chkn Garlic}",0.00133155792276964,0.4,5.31681415929204,2
"111","{All Meat,Pepperoni} => {Chkn Garlic}",0.00133155792276964,0.333333333333333,4.4306784660767,2
"112","{CYO,Chz5 Brd W/Mar} => {2Soda}",0.00133155792276964,0.666666666666667,6.25833333333333,2
"113","{CYO,Choc Chip Dough} => {Cowboy}",0.00133155792276964,0.4,2.42258064516129,2
"114","{CYO,Cowboy} => {Choc Chip Dough}",0.00133155792276964,0.5,5.96031746031746,2
"115","{2Soda,CYO} => {Pepperoni}",0.00199733688415446,0.3,1.85432098765432,3
"116","{Cheesy Bread,Club Salad} => {Cowboy}",0.00133155792276964,0.4,2.42258064516129,2
"117","{Club Salad,Cowboy} => {Cheesy Bread}",0.00133155792276964,0.333333333333333,6.25833333333333,2
"118","{Chkn Garlic,Club Salad} => {2Soda}",0.00133155792276964,0.5,4.69375,2
"119","{Chz5 Brd W/Mar,Club Salad} => {2Soda}",0.00133155792276964,0.666666666666667,6.25833333333333,2
"120","{Cheesy Bread,Chkn Garlic} => {Choc Chip Dough}",0.00199733688415446,0.375,4.47023809523809,3
"121","{Cheesy Bread,Choc Chip Dough} => {Chkn Garlic}",0.00199733688415446,0.375,4.98451327433628,3
"122","{Chkn Garlic,Choc Chip Dough} => {Cheesy Bread}",0.00199733688415446,0.3,5.6325,3
"123","{Cheesy Bread,Chkn Garlic} => {2Soda}",0.00199733688415446,0.375,3.5203125,3
"124","{2Soda,Chkn Garlic} => {Cheesy Bread}",0.00199733688415446,0.375,7.040625,3
"125","{Cheesy Bread,Chz5 Brd W/Mar} => {Cowboy}",0.00133155792276964,0.5,3.02822580645161,2
"126","{Cheesy Bread,Chz5 Brd W/Mar} => {Pepperoni}",0.00199733688415446,0.75,4.6358024691358,3
"127","{Cheesy Bread,Hawaiian} => {Pepperoni}",0.00133155792276964,0.333333333333333,2.06035665294925,2
"128","{2Soda,Cheesy Bread} => {Pepperoni}",0.00599201065246338,0.529411764705882,3.2723311546841,9
"129","{Cheesy Bread,Pepperoni} => {2Soda}",0.00599201065246338,0.409090909090909,3.84034090909091,9
"130","{Cheesy Bread,Cowboy} => {Pepperoni}",0.0033288948069241,0.384615384615385,2.37733459955682,5
"131","{Chkn Garlic,Hawaiian} => {Cowboy}",0.00199733688415446,0.428571428571429,2.59562211981567,3
"132","{Hawaiian,Murph Combo} => {Chz5 Brd W/Mar}",0.00133155792276964,0.333333333333333,4.90849673202614,2
"133","{Chz5 Brd W/Mar,Murph Combo} => {Choc Chip Dough}",0.00199733688415446,0.428571428571429,5.10884353741497,3
"134","{Choc Chip Dough,Murph Combo} => {Chz5 Brd W/Mar}",0.00199733688415446,0.5,7.36274509803922,3
"135","{Hawaiian,Murph Combo} => {Choc Chip Dough}",0.00133155792276964,0.333333333333333,3.97354497354497,2
"136","{Choc Chip Dough,Murph Combo} => {Hawaiian}",0.00133155792276964,0.333333333333333,4.10382513661202,2
"137","{Choc Chip Dough,Murph Combo} => {2Soda}",0.00133155792276964,0.333333333333333,3.12916666666667,2
"138","{2Soda,Murph Combo} => {Pepperoni}",0.00466045272969374,0.411764705882353,2.54514645364319,7
"139","{Murph Combo,Pepperoni} => {2Soda}",0.00466045272969374,0.304347826086957,2.8570652173913,7
"140","{Chz5 Brd W/Mar,Hawaiian} => {Choc Chip Dough}",0.00199733688415446,0.3,3.57619047619048,3
"141","{Chz5 Brd W/Mar,Hawaiian} => {2Soda}",0.00199733688415446,0.3,2.81625,3
"142","{2Soda,Chz5 Brd W/Mar} => {Pepperoni}",0.00399467376830892,0.375,2.3179012345679,6
"143","{Chz5 Brd W/Mar,Pepperoni} => {2Soda}",0.00399467376830892,0.333333333333333,3.12916666666667,6
"144","{2Soda,Choc Chip Dough} => {Cowboy}",0.00399467376830892,0.352941176470588,2.13757115749526,6
"145","{2Soda,Chk Bcn Art Sal,Murph Combo} => {Pepperoni}",0.00133155792276964,1,6.18106995884774,2
"146","{Chk Bcn Art Sal,Murph Combo,Pepperoni} => {2Soda}",0.00133155792276964,1,9.3875,2
"147","{2Soda,Chk Bcn Art Sal,Pepperoni} => {Murph Combo}",0.00133155792276964,1,12.728813559322,2
"148","{Chz5 Brd W/Mar,FTN Chk Bcn Art,Hawaiian} => {2Soda}",0.00133155792276964,1,9.3875,2
"149","{2Soda,Chz5 Brd W/Mar,FTN Chk Bcn Art} => {Hawaiian}",0.00133155792276964,1,12.3114754098361,2
"150","{2Soda,FTN Chk Bcn Art,Hawaiian} => {Chz5 Brd W/Mar}",0.00133155792276964,1,14.7254901960784,2
"151","{2Soda,Chz5 Brd W/Mar,Hawaiian} => {FTN Chk Bcn Art}",0.00133155792276964,0.666666666666667,33.3777777777778,2
"152","{Cheesy Bread,Chkn Garlic,Choc Chip Dough} => {2Soda}",0.00133155792276964,0.666666666666667,6.25833333333333,2
"153","{2Soda,Cheesy Bread,Chkn Garlic} => {Choc Chip Dough}",0.00133155792276964,0.666666666666667,7.94708994708995,2
"154","{2Soda,Cheesy Bread,Choc Chip Dough} => {Chkn Garlic}",0.00133155792276964,1,13.2920353982301,2
"155","{2Soda,Chkn Garlic,Choc Chip Dough} => {Cheesy Bread}",0.00133155792276964,1,18.775,2
"156","{Cheesy Bread,Chz5 Brd W/Mar,Cowboy} => {Pepperoni}",0.00133155792276964,1,6.18106995884774,2
"157","{Cheesy Bread,Chz5 Brd W/Mar,Pepperoni} => {Cowboy}",0.00133155792276964,0.666666666666667,4.03763440860215,2
"158","{Cheesy Bread,Cowboy,Pepperoni} => {Chz5 Brd W/Mar}",0.00133155792276964,0.4,5.89019607843137,2
"159","{Chz5 Brd W/Mar,Cowboy,Pepperoni} => {Cheesy Bread}",0.00133155792276964,0.5,9.3875,2
"160","{Chz5 Brd W/Mar,Hawaiian,Murph Combo} => {Choc Chip Dough}",0.00133155792276964,1,11.9206349206349,2
"161","{Choc Chip Dough,Chz5 Brd W/Mar,Murph Combo} => {Hawaiian}",0.00133155792276964,0.666666666666667,8.20765027322404,2
"162","{Choc Chip Dough,Hawaiian,Murph Combo} => {Chz5 Brd W/Mar}",0.00133155792276964,1,14.7254901960784,2
"163","{Choc Chip Dough,Chz5 Brd W/Mar,Hawaiian} => {Murph Combo}",0.00133155792276964,0.666666666666667,8.48587570621469,2
"164","{Choc Chip Dough,Chz5 Brd W/Mar,Murph Combo} => {2Soda}",0.00133155792276964,0.666666666666667,6.25833333333333,2
"165","{2Soda,Chz5 Brd W/Mar,Murph Combo} => {Choc Chip Dough}",0.00133155792276964,1,11.9206349206349,2
"166","{2Soda,Choc Chip Dough,Murph Combo} => {Chz5 Brd W/Mar}",0.00133155792276964,1,14.7254901960784,2
"167","{2Soda,Choc Chip Dough,Chz5 Brd W/Mar} => {Murph Combo}",0.00133155792276964,1,12.728813559322,2
"168","{2Soda,Chz5 Brd W/Mar,Hawaiian} => {Pepperoni}",0.00133155792276964,0.666666666666667,4.12071330589849,2
"169","{Chz5 Brd W/Mar,Hawaiian,Pepperoni} => {2Soda}",0.00133155792276964,1,9.3875,2
"170","{2Soda,Chz5 Brd W/Mar,Pepperoni} => {Hawaiian}",0.00133155792276964,0.333333333333333,4.10382513661202,2
"171","{2Soda,Hawaiian,Pepperoni} => {Chz5 Brd W/Mar}",0.00133155792276964,0.666666666666667,9.81699346405229,2
