"date","storenumber","checknumber","ordermodeid","chitname","paymenttype","price","disc_price","quantity","item","disc","state"
2018-11-07,"CA121",10001,"Walk-in","L All Meat","Cash",14,12,1,"All Meat",2,"CA"
2018-11-07,"CA121",10002,"Walk-in","Club Salad","Debit",5.5,2.5,1,"Club Salad",3,"CA"
2018-11-07,"CA121",10002,"Walk-in","Club Salad","Debit",5.5,5.5,1,"Club Salad",0,"CA"
2018-11-07,"CA121",10002,"Walk-in","L Stf Chicago","Debit",16,16,1,"Stf Chicago",0,"CA"
2018-11-07,"CA121",10003,"Walk-in","$0.10 Deposit","EBT/SNAP",0.1,0.1,1,"$0.10 Deposit",0,"CA"
2018-11-07,"CA121",10003,"Walk-in","2L Soda","EBT/SNAP",2.5,2.5,1,"2Soda",0,"CA"
2018-11-07,"CA121",10003,"Walk-in","Chz5 Brd W/Mar","EBT/SNAP",5,5,1,"Chz5 Brd W/Mar",0,"CA"
2018-11-07,"CA121",10003,"Walk-in","L Cowboy","EBT/SNAP",14,14,1,"Cowboy",0,"CA"
2018-11-07,"CA121",10003,"Walk-in","L Pepperoni","EBT/SNAP",11.5,3.22,1,"Pepperoni",8.28,"CA"
2018-11-07,"CA121",10004,"Walk-in","L Chk Bac Art","Debit",14,14,1,"Chk Bac Art",0,"CA"
2018-11-07,"CA121",10005,"Walk-in","Choc Chip Dough","Cash",5,5,1,"Choc Chip Dough",0,"CA"
2018-11-07,"CA121",10006,"Walk-in","F Murph Combo","MASTERCARD",17,15.3,1,"Murph Combo",1.7,"CA"
2018-11-07,"CA121",10007,"Walk-in","Club Salad","Debit",5.5,5.5,1,"Club Salad",0,"CA"
2018-11-07,"CA121",10008,"Walk-in","$0.10 Deposit","EBT/SNAP",0.1,0.1,1,"$0.10 Deposit",0,"CA"
2018-11-07,"CA121",10008,"Walk-in","2L Soda","EBT/SNAP",2.5,2.5,1,"2Soda",0,"CA"
2018-11-07,"CA121",10008,"Walk-in","Cinnamon Wheel","EBT/SNAP",5,5,1,"Cinnamon Wheel",0,"CA"
2018-11-07,"CA121",10008,"Walk-in","F Cowboy","EBT/SNAP",17,17,1,"Cowboy",0,"CA"
2018-11-07,"CA121",10009,"Walk-in","Chz5 Brd W/Mar","Debit",5,2.5,1,"Chz5 Brd W/Mar",2.5,"CA"
2018-11-07,"CA121",10010,"Walk-in","L Stf Chicago","Cash",16,16,1,"Stf Chicago",0,"CA"
2018-11-07,"CA121",10011,"Walk-in","Cheesy Bread","EBT/SNAP",5,2.5,1,"Cheesy Bread",2.5,"CA"
2018-11-07,"CA121",10011,"Walk-in","Club Salad","EBT/SNAP",5.5,5.5,1,"Club Salad",0,"CA"
2018-11-07,"CA121",10011,"Walk-in","L Half & Half","EBT/SNAP",0,0,1,"Half & Half",0,"CA"
2018-11-07,"CA121",10011,"Walk-in","L Hawaiian","EBT/SNAP",13,13,0.5,"Hawaiian",0,"CA"
2018-11-07,"CA121",10012,"Walk-in","L Half & Half","Debit",0,0,1,"Half & Half",0,"CA"
2018-11-07,"CA121",10012,"Walk-in","L Murph Combo","Debit",14,14,0.5,"Murph Combo",0,"CA"
2018-11-07,"CA121",10013,"Walk-in","Cheesy Bread","Debit",5,3,1,"Cheesy Bread",2,"CA"
2018-11-07,"CA121",10013,"Walk-in","L Chk Bc Rch","Debit",14,14,1,"Chk Bc Rch",0,"CA"
2018-11-07,"CA121",10013,"Walk-in","Marinara Sc Cup","Debit",0.5,0.5,1,"Marinara Sc Cup",0,"CA"
2018-11-07,"CA121",10013,"Walk-in","S'more Dsrt Piz","Debit",5,5,1,"S'more Dsrt Piz",0,"CA"
2018-11-07,"CA121",10014,"Walk-in","$0.05 Deposit","Debit",0.05,0.05,1,"$0.05 Deposit",0,"CA"
2018-11-07,"CA121",10014,"Walk-in","20Oz Soda","Debit",1.5,1.5,1,"20Oz Soda",0,"CA"
2018-11-07,"CA121",10014,"Walk-in","MGF Murph Combo","Debit",16,14,1,"MGMurph Combo",2,"CA"
2018-11-07,"CA121",10015,"Walk-in","F Chkn Garlic","Debit",17,17,1,"Chkn Garlic",0,"CA"
2018-11-07,"CA121",10015,"Walk-in","FM Thick Crust","Debit",1.5,1.5,1,"FM Thick Crust",0,"CA"
2018-11-07,"CA121",10016,"Walk-in","$0.10 Deposit","Cash",0.1,0.1,1,"$0.10 Deposit",0,"CA"
2018-11-07,"CA121",10016,"Walk-in","2L Soda","Cash",2.5,2.5,1,"2Soda",0,"CA"
2018-11-07,"CA121",10017,"Walk-in","FTN Cowboy","EBT/SNAP",16,13,1,"FTN Cowboy",3,"CA"
2018-11-07,"CA121",10017,"Walk-in","Garden Salad","EBT/SNAP",5.5,5.5,1,"Garden Salad",0,"CA"
2018-11-07,"CA121",10018,"Walk-in","Cheesy Bread","VISA",5,5,1,"Cheesy Bread",0,"CA"
2018-11-07,"CA121",10018,"Walk-in","F Perfect","VISA",16,13,1,"Perfect",3,"CA"
2018-11-07,"CA121",10019,"Walk-in","L Cowboy","Cash",14,12,1,"Cowboy",2,"CA"
2018-11-07,"CA121",10020,"Call-in","FTN Tuscan Chkn","EBT/SNAP",16,16,1,"FTN Tuscan Chkn",0,"CA"
2018-11-07,"CA121",10020,"Call-in","LTN Hrb Chk Med","EBT/SNAP",13,10,1,"LTN Hrb Chk Med",3,"CA"
2018-11-07,"CA121",10022,"Walk-in","FNY New Yrk","EBT/SNAP",9,9,1,"FNY New Yrk",0,"CA"
2018-11-07,"CA121",10022,"Walk-in","L Cowboy","EBT/SNAP",14,14,1,"Cowboy",0,"CA"
2018-11-07,"CA121",10023,"Walk-in","L Chkn Garlic","Cash",14,14,1,"Chkn Garlic",0,"CA"
2018-11-07,"CA121",10024,"Walk-in","$0.10 Deposit","Debit",0.1,0.1,1,"$0.10 Deposit",0,"CA"
2018-11-07,"CA121",10024,"Walk-in","2L Soda","Debit",2.5,2.5,1,"2Soda",0,"CA"
2018-11-07,"CA121",10024,"Walk-in","Garden Salad","Debit",5.5,5.5,1,"Garden Salad",0,"CA"
2018-11-07,"CA121",10024,"Walk-in","L Cowboy","Debit",14,5.22,1,"Cowboy",8.78,"CA"
2018-11-07,"CA121",10024,"Walk-in","L Pepperoni","Debit",11.5,11.5,1,"Pepperoni",0,"CA"
2018-11-07,"CA121",10025,"Walk-in","$0.05 Deposit","EBT/SNAP",0.05,0.05,1,"$0.05 Deposit",0,"CA"
